Row Labels,Total passes
DIGNITAS,
2997A46A49A93FC8587E3B88CC3B514C,6
757D946242F8C16BB6A58DA7FFBB1B3D,12
77DE807146B2C3CB27C1628CCE53CA43,20
7B26536D48C4BAF527842C85EEFC6F14,17
9222A7C74AEFA1FCF81926BB19DB2FC6,15
A6AB965A42DA3CC9DC6FE4AF37DE902C,17
A77BE0B84492B7EE5D351F9C0D7E5DFB,12
B3277F934ABB01977B34019290462CB8,12
BF66A28B42D09AA7059DF08E31064294,13
CEFA19294F3CDE1DFE8F70A435BAE859,13
E2FE4D064A172FB09173059BD257716D,23
EE57523A426F2A1F11C32AB24B6F6C9A,14
ENDPOINT,
0BB6F9A1402E1734A37EF6A1F2E34922,19
8FBAE5AC40993C4EB84190886A0C8AD7,18
A23F694F4223F4FA851C9EB222FE679C,14
AFC2FF2347E7F4E6CA480F93A80830D9,14
FALCONS,
01CE625C4C6A1D8DF2F51B8EA50E970D,14
2883EA6A4C63F1E3AB2F1BB7C361D76D,24
2997A46A49A93FC8587E3B88CC3B514C,17
5844AE724C8F065A974348A66A2DD887,15
68F6D6F443D588E204BB4598D308BF31,17
70A7E8C04BBD01CEB5A82A9EC5CCE841,13
757D946242F8C16BB6A58DA7FFBB1B3D,30
7B26536D48C4BAF527842C85EEFC6F14,23
7BEF67FA4C6D53B900C98892F7ECBA22,14
8466D3054F057E04081E6D9D6B79CDB0,17
97C78A9545E9312500AD249902FA4233,17
A6AB965A42DA3CC9DC6FE4AF37DE902C,18
C386E0154BB6536BCEFD5B90674A14D7,16
CEFA19294F3CDE1DFE8F70A435BAE859,13
EE57523A426F2A1F11C32AB24B6F6C9A,20
FBB4A06E4D992465570C908FBC4AC3D0,13
FAZE CLAN,
2883EA6A4C63F1E3AB2F1BB7C361D76D,20
2A18B0514F317CDC7D1CC4B77F9EACD7,22
2A846C034706F1B152BF809D67E84ED6,17
4DF55DDA4383D0866A324C9ACFA88DD7,17
5844AE724C8F065A974348A66A2DD887,20
688874D946DB109AC137D2AE0F76F177,22
68F6D6F443D588E204BB4598D308BF31,26
70A7E8C04BBD01CEB5A82A9EC5CCE841,23
7DA61E414493958E12E892950C28EADD,23
89C76EEF4100204A17B4328008DE7293,19
9522791645BA9CEFE4404EB2BFC6FF08,21
9A81B68043B9D0A9DB6D919954611687,29
A7F6A70C4DEC7CD223C7119326D9250C,12
B13377F741E698EF1BF12A82D5D2EE17,15
EA82763F48C53D3C97F1199E2594AF63,9
F0D60602460A248D0722B781E449EE7A,15
F7DB10D147C5B04046406B890CEC77ED,11
FURIA,
015459944CEE66AF82CE7FB4BC2944A5,19
02679C794A71EDF24CA452A56B9DDC35,17
07669E8A4A524B719D8F36B10F6E5A10,16
0802FA554F886E2767B2BFA0C497235E,19
20C25DF145DB4767878928B095DE487B,19
2382435941D0A787CF9AD1A5F1E1AFED,26
33175D9749597F3F2B69268B1EDCDC05,12
370162C54E47CD44B246559DFA1170E6,10
3EEB1D9A4AD227AEDB990AB94A96690C,35
41EBBD8C49B0484DF3410DA86E9C72AE,20
498AA42240E1409C2660A49602532D99,22
50042B32468C4655D6F72D8E997CBB6C,22
571A44B245C01CE057A2D296A9AC7A40,10
575389F845ED15F3C2FA7EA2646D013A,21
61B6954346165E0E42E1D8BF8A0417E0,9
63C2F0A142E9679088210FA09D7F7FEA,19
695A4CD04DA999AABE4E0DBC9C6E336B,16
73A243AE40E605F6B0830B89F520BE75,15
73CA1707476D288FA5B5B68496F26EC9,16
7BC27B6640392D4DBE2FBDB7BC1D8F33,14
8155A5674705DC606EEE4EBDD5C792C7,24
860F09314D76F8F1BA3A40BE00AD67BA,23
96A3E56046F6EA81BC9DC09478433D6C,20
9B3E52C04E454C8C63E738A17E12BA05,10
AF26758A4B01DB87BF160E81FD975441,25
B0F0E64E4F395071EB5F778BB157558D,18
CD20D29D42D4924A4B11038C5EAFAC1E,22
