,player,team,xthreat,xthreat_excl_goals,Total xthreat
0,BeastMode,G2 STRIDE,0.3641194006620117,0.1164901234482651,9.102985016550292
1,ApparentlyJack,GENG MOBIL1,0.876941895619265,0.13074774329964692,21.046605494862362
2,Chronic,GENG MOBIL1,0.37572636153748346,0.08415614424088226,9.017432676899602
3,Daniel,G2 STRIDE,0.4750298606152882,0.22571975813240233,11.875746515382204
4,Firstkiller,GENG MOBIL1,0.5278173064982828,0.16095624865221,12.667615355958787
5,Atomic,G2 STRIDE,0.5965094862992061,0.07646370701191053,14.912737157480153
6,majicbear,LUMINOSITY,0.7087030419970827,0.16242506766641304,22.678497343906646
7,CHEESE.,LUMINOSITY,0.9252013978287635,0.13026217097918646,29.606444730520433
8,Chicago,SPACESTATION,0.5089445730618296,0.06191126103020464,12.723614326545741
9,Lj,SPACESTATION,0.745483153358841,0.151546233715992,18.637078833971024
10,Retals,LUMINOSITY,0.5283133118053044,0.1451971858154587,16.90602597776974
11,hockser,SPACESTATION,0.4753875419430279,0.07405341143900586,11.884688548575697
12,"Creamz,",TSM,0.7802947853322435,0.19013367594502817,12.484716565315896
13,Buffy ._.,GBUFFO,0.3158649564442085,0.10251445107788378,3.1586495644420847
14,hockE,TSM,0.3810516892743204,0.06269873654017201,6.096827028389127
15,hazo,GBUFFO,-0.01741832209482539,0.11298546681451246,-0.17418322094825392
16,Wahvey,TSM,0.13859799651016574,0.12717077615567882,2.217567944162652
17,gman,GBUFFO,0.3571355956109176,0.07058590159474691,3.5713559561091763
18,Angel,INCORRECT,0.6049655002933382,0.10055645422008525,9.074482504400073
19,noly,OG ESPORTS,0.6916188208629538,0.08128368602047198,18.673708163299754
20,JKnaps,OG ESPORTS,0.6093096553255862,0.11664539889205107,16.45136069379083
21,Flitz,INCORRECT,-0.03343285305957038,0.14049319206764999,-0.5014927958935558
22,Tool,INCORRECT,0.5940023533741282,0.16407910816476218,8.910035300611924
23,Comm,OG ESPORTS,0.47709178906488253,0.18736371690688405,12.881478304751829
24,Daunt,LEFTOVERS,0.3785925649683879,0.0450011059422112,4.921703344589043
25,Cam,LEFTOVERS,0.2243354588144415,0.09193215994271735,2.9163609645877395
26,Taroco,LEFTOVERS,0.3974072291804193,0.11902690271359653,5.166293979345451
27,aris,PIRATES,0.4487578220138256,0.07961428326091656,10.321429906317988
28,Andy,PIRATES,0.4891444109163384,0.08623052846601828,11.250321451075784
29,oath,DELETED XD,0.4012771981921445,0.15123085882303663,5.216603576497879
30,Ahduhm,DELETED XD,0.32245270387975433,0.0756724364338626,4.191885150436806
31,night.,DELETED XD,0.5198899404768619,0.10760591522440666,6.758569226199204
32,Fiv3Up,PIRATES,0.4428260515786143,0.08791973472294225,10.18499918630813
33,.tristn,AKRON,0.20777936489708634,0.026932234107929665,2.2855730138679498
34,Bullzzeye,AKRON,0.24708180276452457,0.05103287193599626,2.7178998304097703
35,patttyrl,AKRON,0.47929795791544705,0.15759865106647097,5.272277537069917
36,Gyro.,DIGNITAS,0.15883731065610504,0.09081855845089523,2.3825596598415757
37,Arsenal,DIGNITAS,0.3073192255190334,0.20937712787776314,4.609788382785501
38,Evh.,DIGNITAS,0.3013169816695029,0.14874202728946376,4.519754725042543
39,AYYJAYY,M80,0.7497021104163782,0.06998548968601581,12.74493587707843
40,Joreuz,M80,0.33477919358374514,0.0887097836421323,5.691246290923667
41,nass,M80,0.6379165085698334,0.21088800994787849,10.844580645687168
42,Zineel,OMELETTE,0.3377168073374849,0.03770290240538195,6.078902532074728
43,percy.,OMELETTE,0.2757925364993126,0.10931658675755423,4.964265656987627
44,LionBlaze,OMELETTE,0.6667025334726691,0.04701655589922594,12.000645602508042
45,mist,NRG,0.6546561495194987,0.14251916384275376,11.783810691350977
46,dreaz,NRG,0.6148122224048923,0.0619757117086661,11.066620003288062
47,GarrettG,NRG,0.45395940793977324,0.1210477532223352,8.171269342915918
